word_mean,word_std,word_max,pair_mean,pair_std,pair_max,trigram_mean,trigram_std,trigram_max,sent_match,plag
161.53001792114696, 336.69397530013583, 2900.0, 2.232142857142857, 18.188555763655085, 200.0, 0.0, 0.0, 0.0, 11.20937748235888, 0
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 20.120714653681688, 1
0.6889763779527559, 7.169442493487479, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.666666666666668, 0
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 19.567382429440865, 1
26.950113378684808, 77.76835158030214, 700.0, 0.43956043956043955, 6.622629725114081, 100.0, 0.0, 0.0, 0.0, 8.765948897780588, 0
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 16.52697805841484, 1
26.38136887408024, 83.53161408950466, 900.0, 0.21691973969631237, 3.2897429614241793, 50.0, 0.0, 0.0, 0.0, 7.073648062893823, 0
8.978564093906858, 35.72716038010132, 466.6666666666667, 0.8951081783334619, 17.953530907374272, 900.0, 0.15774001577400157, 6.8431860805354034, 433.3333333333333, 11.378981280468691, 0
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 12.693230664930322, 1
9.525585157446429, 52.3945587403005, 1600.0, 0.35061026031158005, 11.68595905668908, 700.0, 0.0, 0.0, 0.0, 9.07765603972254, 0
4.79136834004522, 30.246759586041257, 500.0, 0.15676854210079494, 4.222327785995641, 200.0, 0.007170000717000072, 0.48887628690702795, 33.333333333333336, 7.603757377298251, 0
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 12.693230664930322, 1
1.518987341772152, 13.712846212810254, 200.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.069264069264069, 0
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 1
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 12.499482600592922, 1
32.40318587736044, 142.3738854894071, 2500.0, 0.8494702228717573, 9.893501162003558, 200.0, 0.0, 0.0, 0.0, 8.61357345303937, 0
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 17.333040797175375, 1
32.08149914370319, 75.17408821922805, 600.0, 1.3770757391656543, 17.346062717220352, 400.0, 0.0, 0.0, 0.0, 9.148129993465771, 0
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 13.345426441358365, 1
26.153594771241828, 87.63614933214075, 900.0, 1.2295081967213115, 16.712453015187933, 300.0, 0.0, 0.0, 0.0, 16.53517763636716, 0
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 14.058899149131705, 1
21.89693918188542, 123.96957873967311, 1700.0, 0.5795574288724974, 12.24664095055688, 350.0, 0.0, 0.0, 0.0, 9.6767790753301, 0
18.793597259027276, 57.0908513540714, 500.0, 0.3038194444444444, 6.746860337129168, 200.0, 0.0, 0.0, 0.0, 5.789147455231811, 0
22.203274072206113, 88.12113454644982, 900.0, 1.6550522648083623, 30.439700939369313, 700.0, 0.0, 0.0, 0.0, 17.618623982978008, 0
1.0751515151515152, 12.729744321006953, 200.0, 0.050454086781029264, 1.5883023449744893, 50.0, 0.0, 0.0, 0.0, 4.526315789473685, 0
61.7924031986532, 249.19277128506047, 3600.0, 0.2557544757033248, 5.057217374241738, 100.0, 0.0, 0.0, 0.0, 11.16782668202889, 0
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 24.711874858933687, 1
14.830730846991008, 74.41318200495718, 1100.0, 0.28846153846153844, 4.899123190245367, 100.0, 0.0, 0.0, 0.0, 8.486573701255706, 0
36.423611111111114, 139.2462799185586, 1800.0, 2.1447721179624666, 23.087269120561704, 400.0, 0.0, 0.0, 0.0, 8.347851560171781, 0
3.697391146259431, 17.15522220661693, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.876413441630834, 0
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 13.329124320044663, 1
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 55.84415584415585, 1
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 36.91119403027841, 1
4.47978436657682, 18.773368014750158, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.2579536865251155, 0
35.13745704467354, 236.95902180333832, 2800.0, 6.297709923664122, 98.88475390130895, 1600.0, 0.0, 0.0, 0.0, 12.506965686739768, 0
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 15.366586505604792, 1
24.981525720656155, 99.92247994619179, 1000.0, 0.43923865300146414, 8.55105663105311, 200.0, 0.0, 0.0, 0.0, 9.029780728572073, 0
100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 11.061660210750711, 1
17.32183908045977, 77.47897149983477, 900.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.342749957419377, 0
9.445059422228372, 38.4885623575881, 600.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.7819826639953895, 0
46.121593291404615, 215.72494931560493, 2300.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.875674272873131, 0
